Company,Location,Date,Level,NameTag,Years of Experience,At Company,Total Compensation (SGD),Base,Stock (yr),Bonus
Illumina,Singapore, SG, Singapore,a day ago,P3,ML / AI,5 yrs,3 yrs,138.000 S$,130 mil,8 mil,N/A
Tencent,Singapore, SG, Singapore,3 days ago,T11,Data,5 yrs,2 yrs,290.001 S$,200 mil,40 mil,50 mil
Grab,Singapore, SG, Singapore,4 days ago,G4,Analytics,7 yrs,4 yrs,172.001 S$,133 mil,20 mil,19 mil
InfoCepts,Singapore, SG, Singapore,6 days ago,L2,Data,3 yrs,3 yrs,57.500 S$,57.5 mil,N/A,N/A
Grab,Singapore, SG, Singapore,7 days ago,G5,hidden,7 yrs,3 yrs,305.001 S$,180 mil,89 mil,36 mil
Grab,Singapore, SG, Singapore,01/08/2024,G6,Data Science,8 yrs,5 yrs,332.001 S$,192 mil,100 mil,40 mil
Nanyang Technological University,Singapore, SG, Singapore,01/08/2024,Project Manager,AI/Computer Vision,6 yrs,6 yrs,93.600 S$,93.6 mil,N/A,N/A
HPE,Singapore, SG, Singapore,30/07/2024,Specialist,NLP,5 yrs,3 yrs,87.000 S$,75 mil,N/A,12 mil
Grab,Singapore, SG, Singapore,19/07/2024,G4,Product,6 yrs,6 yrs,188.801 S$,142.8 mil,20 mil,26 mil
Verisk,Singapore, SG, Singapore,18/07/2024,L1,Data,2 yrs,2 yrs,56.000 S$,56 mil,N/A,N/A
Carro,Singapore, SG, Singapore,17/07/2024,Data Scientist III,i,2 yrs,2 yrs,84.500 S$,78 mil,N/A,6.5 mil
Temasek,Singapore, SG, Singapore,13/07/2024,Analyst,Data,2 yrs,2 yrs,150.000 S$,100 mil,N/A,50 mil
Envision,Singapore, SG, Singapore,11/07/2024,Entry,Data Science,0 yrs,0 yrs,60.000 S$,60 mil,N/A,N/A
Lazada,Singapore, SG, Singapore,05/07/2024,hidden,hidden,5-10 yrs,2-4 yrs,160.000 S$,120 mil,N/A,40 mil
DSO National Labs,Singapore, SG, Singapore,05/07/2024,7,MTS,4 yrs,4 yrs,123.760 S$,88 mil,N/A,35.8 mil
Facebook,Singapore, SG, Singapore,29/06/2024,IC5,Data,7 yrs,3 yrs,407.999 S$,218 mil,150 mil,40 mil
Accenture,Singapore, SG, Singapore,19/06/2024,Associate Data Scientist,Analytics,3 yrs,3 yrs,100.000 S$,100 mil,N/A,N/A
Data Scientist,Singapore, SG, Singapore,14/06/2024,-,hidden,0 yrs,0 yrs,72.000 S$,72 mil,N/A,N/A
OCBC,Singapore, SG, Singapore,13/06/2024,AVP,ML,6 yrs,3 yrs,134.000 S$,104 mil,N/A,30 mil
HPE,Singapore, SG, Singapore,12/06/2024,L3,Data,2 yrs,0 yrs,70.000 S$,70 mil,N/A,N/A
Gojek Tech,Singapore, SG, Singapore,31/05/2024,L3,AI,4 yrs,0 yrs,110.000 S$,110 mil,N/A,N/A
AMILI,Singapore, SG, Singapore,30/05/2024,-,Bio,6 yrs,0 yrs,102.000 S$,102 mil,N/A,N/A
McKinsey,Singapore, SG, Singapore,27/05/2024,Data Scientist,Data,2 yrs,2 yrs,110.000 S$,100 mil,N/A,10 mil
Louis Dreyfus Commodities,Singapore, SG, Singapore,25/05/2024,-,Commodities,6 yrs,0 yrs,195.001 S$,150 mil,N/A,45 mil
ByteDance,Singapore, SG, Singapore,23/05/2024,2-2,Analytics,5 yrs,0 yrs,209.000 S$,151.2 mil,20 mil,37.8 mil
Agency for Science Technology and Research,Singapore, SG, Singapore,18/05/2024,5,RTS,12 yrs,5 yrs,156.000 S$,136 mil,N/A,20 mil
